n/a,n/a,n/a,n/a
*,Battery,Charge,MinLimitReached
*,Battery,Charge,Normal
*,Battery,n/a,Failed
*,Battery,n/a,Installed
*,Billing,Credit,Changed
*,Billing,Credit,Decreased
*,Billing,Credit,Increased
*,Billing,PrepaymentCredit,Increased
*,Billing,Pricing,Created
*,Billing,Pricing,Failed
*,Billing,Program,Changed
*,Billing,RTP,Activated
*,Billing,RTP,Deactivated
*,Billing,Schedule,Activated
*,Billing,SecondaryCredit,Increased
*,Billing,Tariff,Changed
*,Billing,Tariff,Reset
*,Billing,Tier,Changed
*,Billing,TOU,Mismatched
*,Cartridge,Status,Error
*,Cartridge,Status,Frozen
*,Cartridge,Status,Installed
*,Cartridge,Status,NotFound
*,Cartridge,Status,Removed
*,Cartridge,Status,Replaced
*,Clock,AutoTime,Succeeded
*,Clock,Date,Changed
*,Clock,Date,Invalid
*,Clock,Day,Error
*,Clock,Day,Invalid
*,Clock,DaylightSavingsTime,Changed
*,Clock,DaylightSavingsTime,OutofRange
*,Clock,DaylightSavingsTime,Reset
*,Clock,DaylightSavingsTime,Started
*,Clock,Holiday,Changed
*,Clock,InstallDate,Invalid
*,Clock,n/a,Error
*,Clock,n/a,Failed
*,Clock,Season,Changed
*,Clock,StandardTime,Started
*,Clock,Time,Changed
*,Clock,Time,Change
*,Clock,Time,OutofRange
*,Clock,Time,Reset
*,Clock,TimeReset,Failed
*,Clock,TimeSync,Error
*,Clock,TimeSync,Failed
*,Clock,TimeSync,Succeeded
*,Clock,TimeVariance,Exceeded
*,Clock,TimeZone,Invalid
*,Communication,AUTDProcess,Failed
*,Communication,Cable,Failed
*,Communication,EncoderRegister,Failed
*,Communication,HeadEndSystem,Established
*,Communication,HeadEndSystem,Failed
*,Communication,IntelligentRegister,Failed
*,Communication,IO,Failed
*,Communication,IO,Mismatched
*,Communication,Mesh,Failed
*,Communication,n/a,Failed
*,Communication,n/a,Re-established
*,Communication,n/a,Terminated
*,Communication,Queue,Failed
*,Communication,Status,Delayed
*,Communication,Tranceiver,Reset
*,Configuration,Constants,Changed
*,Configuration,Identity,Changed
*,Configuration,Identity,Invalid
*,Configuration,Identity,NotFound
*,Configuration,IPAddress,Changed
*,Configuration,MaintMode,Started
*,Configuration,MaintMode,Stopped
*,Configuration,MeteringMode,Started
*,Configuration,MeteringMode,Stopped
*,Configuration,n/a,Change
*,Configuration,n/a,Changed
*,Configuration,n/a,Error
*,Configuration,n/a,Initialized
*,Configuration,n/a,Reprogrammed
*,Configuration,Parameter,Changed
*,Configuration,Program,Changed
*,Configuration,Rate,Changed
*,Configuration,SetPoint,Exceeded
*,Configuration,StandbyMode,Started
*,Configuration,Storage,Changed
*,Configuration,TestMode,Enabled
*,Configuration,TestMode,Started
*,Configuration,TestMode,Stopped
*,Configuration,Timeout,Invalid
*,Demand,n/a,ResetFailed
*,Demand,n/a,ResetOccurred
*,Demand,n/a,Mismatched
*,Demand,Threshold,Exceeded
*,Demand,Threshold,MaxLimitReached
*,Firmware,ADConverter,Error
*,Firmware,Constants,Invalid
*,Firmware,Data,Error
*,Firmware,Data,Invalid
*,Firmware,Display,Frozen
*,Firmware,Event,Acknowledged
*,Firmware,Feature,Activated
*,Firmware,Feature,Disabled
*,Firmware,Feature,Enabled
*,Firmware,Feature,Failed
*,Firmware,Feature,Invalid
*,Firmware,FirmwareReset,Failed
*,Firmware,Identity,Mismatched
*,Firmware,Input,Unstable
*,Firmware,List,Error
*,Firmware,List,NotFound
*,Firmware,LowSpeedBus,Error
*,Firmware,MeterBus,Error
*,Firmware,n/a,ColdStarted
*,Firmware,n/a,Corrupted
*,Firmware,n/a,Error
*,Firmware,n/a,Failed
*,Firmware,n/a,Reprogrammed
*,Firmware,n/a,Reset
*,Firmware,n/a,Restarted
*,Firmware,n/a,Uninitialized
*,Firmware,n/a,WarmStarted
*,Firmware,OptionBoard,Error
*,Firmware,Parameter,Error
*,Firmware,Parameter,Invalid
*,Firmware,Parameter,Mismatched
*,Firmware,Parameter,Substituted
*,Firmware,Processor,Failed
*,Firmware,Processor,Invalid
*,Firmware,Processor,Reset
*,Firmware,Program,Error
*,Firmware,Program,Failed
*,Firmware,SelfTest,Error
*,Firmware,SelfTest,Failed
*,Firmware,Sensor,Failed
*,Firmware,Status,Changed
*,Firmware,Status,ChangePending
*,Firmware,Status,Downloaded
*,Firmware,Status,Normal
*,Firmware,Status,Replaced
*,Firmware,Status,Reset
*,Firmware,Table,Error
*,Firmware,Table,Mismatched
*,Firmware,Test,Succeeded
*,Firmware,TestMode,Mismatched
*,Firmware,Threshold,Invalid
*,Firmware,Threshold,OutofRange
