APR;REST;addMessageServices.empty.list.item1;Es wurden noch keine Nachrichten-Services hinzugefügt.
APR;REST;addMessageServices.empty.title;Keine Nachrichten-Services gefunden.
APR;REST;appServers.activate.operation.failed;Aktivierung des Vorgangs fehlgeschlagen.
APR;REST;appServers.activateSuccessMsg;Anwendungsserver aktiviert.
APR;REST;appServers.addSuccessMsg;Anwendungsserver hinzugefügt
APR;REST;appServers.configureImportServicesSuccess;Import-Services gespeichert.
APR;REST;appServers.configureWebServicesSuccess;Webservice-Endpunkte gespeichert
APR;REST;appServers.deactivate.operation.failed;Deaktivierung des Vorgangs fehlgeschlagen.
APR;REST;appServers.deactivate.operation.failedTitle;Ihre Aktion konnte nicht ausgeführt werden.
APR;REST;appServers.deactivateSuccessMsg;Anwendungsserver deaktiviert.
APR;REST;appServers.empty.list.item1;Es gibt keine Anwendungsserver im System.
APR;REST;appServers.empty.title;Keine Anwendungsserver gefunden.
APR;REST;appServers.error.unknown;Es ist ein unbekannter Fehler aufgetreten.
APR;REST;appServers.noImportServices;Es wurden keine Import-Services hinzugefügt.
APR;REST;appServers.noWebServiceEndpoints;Es wurden keine Webservice-Endpunkte hinzugefügt
APR;REST;appServers.pagingtoolbarbottom.itemsPerPage;Anwendungsserver pro Seite
APR;REST;appServers.pagingtoolbartop.displayMoreMsg;{0} - {1} von mehr als {2} Anwendungsservern
APR;REST;appServers.pagingtoolbartop.displayMsg;{0} - {1} von {2} Anwendungsservern
APR;REST;appServers.pagingtoolbartop.emptyMsg;Keine Anwendungsserver zur Anzeige verfügbar.
APR;REST;appServers.remove.msg;Dieser Anwendungsserver wird nicht mehr verfügbar sein.
APR;REST;appServers.remove.success.msg;Anwendungsserver entfernt.
APR;REST;appServers.save.operation.failed;Speichern des Vorgangs fehlgeschlagen.
APR;REST;appServers.save.operation.failedTitle;Ihre Aktion konnte nicht ausgeführt werden.
APR;REST;appServers.saveSuccessMsg;Anwendungsserver gespeichert.
APR;REST;appServers.undo.operation.failed;Abbrechen des Vorgangs fehlgeschlagen.
APR;REST;appServers.undo.operation.failedTitle;Ihre Aktion konnte nicht ausgeführt werden.
APR;REST;customTask.general.at;zum
APR;REST;customTask.general.created;Erstellt
APR;REST;customTask.general.every;Jede/Alle
APR;REST;customTask.general.finishedOn;Beendet am
APR;REST;customTask.general.followedBy;Gefolgt von
APR;REST;customTask.general.history;Verlauf
APR;REST;customTask.general.lastRunBySchedule;{0} nach Zeitplan
APR;REST;customTask.general.lastRunOnRequest;{0} auf Anforderung
APR;REST;customTask.general.logLevel;Protokollierebene
APR;REST;customTask.general.notScheduled;Nicht geplant
APR;REST;customTask.general.reason;Grund
APR;REST;customTask.general.recurrence;Wiederauftreten
APR;REST;customTask.general.remove.confirm.msg;Die Aufgabe wurde entfernt.
APR;REST;customTask.general.remove.msg;Diese Aufgabe wird nicht mehr verfügbar sein.
APR;REST;customTask.general.run;Ausführen
APR;REST;customTask.general.schedule;Zeitplan
APR;REST;customTask.general.startedOn;Gestartet am
APR;REST;customTask.general.startOn;Start am
APR;REST;customTask.general.task;Aufgabe
APR;REST;customTask.general.viewLog;Protokoll anzeigen
APR;REST;customTask.history.busyStatus;Laufend
APR;REST;customTask.history.empty.list.item1;Es ist kein Verlauf für diese Aufgabe verfügbar.
APR;REST;customTask.history.empty.list.item2;Es stimmen keine Verlaufselemente mit dem Filter überein.
APR;REST;customTask.history.empty.title;Es wurde kein Verlauf gefunden.
APR;REST;customTask.history.failStatus;Fehlgeschlagen
APR;REST;customTask.history.pagingtoolbarbottom.itemsPerPage;Verlaufselemente pro Seite
